added_on,amount_left,auto_tmm,availability,category,completed,completion_on,content_path,dl_limit,dlspeed,downloaded,downloaded_session,eta,f_l_piece_prio,force_start,hash,last_activity,magnet_uri,max_ratio,max_seeding_time,name,num_complete,num_incomplete,num_leechs,num_seeds,priority,progress,ratio,ratio_limit,save_path,seeding_time_limit,seen_complete,seq_dl,size,state,super_seeding,tags,time_active,total_size,tracker,up_limit,uploaded,uploaded_session,upspeed
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140946,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140948,,,,,,
,,,1.2120000123977661,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,1,,,,,,,,,,,,,,140951,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140954,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,1,,,,,,,,,,,,,,140957,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140958,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140964,,,,,,
,,,1.409999966621399,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,2,,,,,,,,,,,,,,140966,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140969,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140970,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140976,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140978,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,3,,,,,,,,,,,,,,140981,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140982,,,,,,
